ParticipantNumber,Condition,Speaker,Date,RA,competent,thoughtful,intelligent,like,positive_impression,negative_impression,hire,age,gender,ethnicity,English,cond2,negimpressionR,intellect,impression,speaker_age,speaker_gender,video,audio,transcript,meanhire,meanintellect,meanimpression,centhire,centintellect,centimpression
89,transcript,15,2013-12-29,TK&JO,-1,0,-3,3,5,7,2,18,0,white,1,3,3,-1.3333333333333333,3.6666666666666665,28,1,0,0,1,2.111111111111111,-0.8888888888888888,3.9259259259259256,-0.11111111111111116,-0.4444444444444444,-0.2592592592592591
90,audio,15,2013-12-29,TK&JO,0,-1,0,5,2,1,2,31,0,Asian-Am.,1,2,9,-0.3333333333333333,5.333333333333333,28,1,0,1,0,2.111111111111111,-0.8888888888888888,3.9259259259259256,-0.11111111111111116,0.5555555555555556,1.4074074074074074
91,transcript,16,2013-12-29,TK&JO,-2,0,-3,3,2,6,0,18,1,white,1,3,4,-1.6666666666666667,3,28,1,0,0,1,5.222222222222222,2.111111111111111,5.777777777777778,-5.222222222222222,-3.7777777777777777,-2.7777777777777777
92,audio,14,2013-12-29,TK&JO,-2,-3,0,2,1,5,1,55,1,caucasian,1,2,5,-1.6666666666666667,2.6666666666666665,28,0,0,1,0,2.6666666666666665,-0.5925925925925926,4.407407407407407,-1.6666666666666665,-1.0740740740740742,-1.740740740740741
93,audio,11,2013-12-29,TK&JO,1,-1,-1,5,5,5,4,57,0,U.S/Greek,1,2,5,-0.3333333333333333,5,32,0,0,1,0,2.4444444444444446,-0.3703703703703704,4.666666666666667,1.5555555555555554,0.03703703703703709,0.33333333333333304
94,transcript,11,2013-12-29,TK&JO,-5,-5,-3,0,0,5,0,60,0,White/Jewish,1,3,5,-4.333333333333333,1.6666666666666667,32,0,0,0,1,2.4444444444444446,-0.3703703703703704,4.666666666666667,-2.4444444444444446,-3.962962962962963,-3
95,audio,6,2013-12-29,TK&JO,1,2,3,5,5,0,5,50,1,caucasian,1,2,10,2,6.666666666666667,29,1,0,1,0,3.3333333333333335,-0.7083333333333333,4.851851851851852,1.6666666666666665,2.708333333333333,1.8148148148148149
97,audio,8,2013-12-29,TK&JO,-2,0,0,6,5,4,2,18,1,white,1,2,6,-0.6666666666666666,5.666666666666667,29,0,0,1,0,3,-1,4.7407407407407405,-1,0.33333333333333337,0.9259259259259265
98,audio,16,2013-12-29,TK&JO,3,4,4,8,7,2,7,22,1,white,1,2,8,3.6666666666666665,7.666666666666667,28,1,0,1,0,5.222222222222222,2.111111111111111,5.777777777777778,1.7777777777777777,1.5555555555555554,1.8888888888888893
99,audio,15,2013-12-29,TK&JO,0,-2,-3,2,2,3,2,25,0,Chinese,1,2,7,-1.6666666666666667,3.6666666666666665,28,1,0,1,0,2.111111111111111,-0.8888888888888888,3.9259259259259256,-0.11111111111111116,-0.7777777777777779,-0.2592592592592591
102,audio,6,2013-12-29,TK&JO,-1,1,0,6,4,5,2,40,1,Polish/Czech,1,2,5,0,5,29,1,0,1,0,3.3333333333333335,-0.7083333333333333,4.851851851851852,-1.3333333333333335,0.7083333333333333,0.14814814814814792
105,audio,14,2013-12-29,TK&JO,0,3,-2,5,7,3,5,22,1,white,1,2,7,0.3333333333333333,6.333333333333333,28,0,0,1,0,2.6666666666666665,-0.5925925925925926,4.407407407407407,2.3333333333333335,0.9259259259259258,1.9259259259259256
106,transcript,6,2013-12-29,TK&JO,0,-1,-3,3,4,8,3,47,1,white,1,3,2,-1.3333333333333333,3,29,1,0,0,1,3.3333333333333335,-0.7083333333333333,4.851851851851852,-0.3333333333333335,-0.625,-1.851851851851852
108,audio,18,2013-12-29,TK&JO,0,0,1,7,7,1,6,53,0,caucasian,1,2,9,0.3333333333333333,7.666666666666667,27,0,0,1,0,4.111111111111111,0.8518518518518519,5.666666666666667,1.8888888888888893,-0.5185185185185186,2
109,transcript,4,2013-12-29,TK&JO,5,5,5,7,9,5,5,56,1,Pacific Islander,1,3,5,5,7,27,0,0,0,1,3.6666666666666665,0.5185185185185185,5,1.3333333333333335,4.481481481481482,2
111,transcript,12,2013-12-29,TK&JO,-2,1,-2,5,4,2,1,20,1,caucasian,1,3,8,-1,5.666666666666667,28,0,0,0,1,3.888888888888889,0.2962962962962962,5.999999999999999,-2.888888888888889,-1.2962962962962963,-0.33333333333333215
112,audio,16,2013-12-29,TK&JO,0,0,2,2,2,5,2,49,1,caucasian,1,2,5,0.6666666666666666,3,28,1,0,1,0,5.222222222222222,2.111111111111111,5.777777777777778,-3.2222222222222223,-1.4444444444444446,-2.7777777777777777
113,transcript,3,2013-12-29,TK&JO,0,-3,1,5,6,2,5,16,0,caucasian,1,3,8,-0.6666666666666666,6.333333333333333,26,0,0,0,1,6.375,1.5925925925925926,7.222222222222222,-1.375,-2.259259259259259,-0.8888888888888893
114,transcript,19,2013-12-29,TK&JO,2,-3,1,5,1,5,2,35,0,caucasian,1,3,5,0,3.6666666666666665,32,1,0,0,1,4.222222222222222,1.5185185185185182,5.851851851851851,-2.2222222222222223,-1.5185185185185182,-2.1851851851851847
116,transcript,17,2013-12-29,TK&JO,-5,-5,-5,0,0,8,0,27,1,white,1,3,2,-5,0.6666666666666666,30,0,0,0,1,2.7777777777777777,-1.1851851851851851,3.962962962962963,-2.7777777777777777,-3.814814814814815,-3.2962962962962963
118,audio,3,2013-12-29,TK&JO,2,2,1,7,8,1,7,30,0,N. American,1,2,9,1.6666666666666667,8,26,0,0,1,0,6.375,1.5925925925925926,7.222222222222222,0.625,0.07407407407407418,0.7777777777777777
120,audio,7,2013-12-29,TK&JO,2,0,-1,5,5,5,3,19,1,white,1,2,5,0.3333333333333333,5,26,0,0,1,0,4.333333333333333,0.6666666666666665,6.37037037037037,-1.333333333333333,-0.3333333333333332,-1.3703703703703702
123,transcript,13,2013-12-29,TK&JO,3,2,2,8,7,1,8,69,1,caucasian,1,3,9,2.3333333333333335,8,24,1,0,0,1,6,1.6481481481481481,7.296296296296297,2,0.6851851851851853,0.7037037037037033
125,audio,11,2013-12-29,TK&JO,1,2,3,5,6,0,2,19,0,white,1,2,10,2,7,32,0,0,1,0,2.4444444444444446,-0.3703703703703704,4.666666666666667,-0.44444444444444464,2.3703703703703702,2.333333333333333
126,transcript,20,2013-12-29,TK&JO,-1,-2,-2,2,2,5,0,61,1,caucasian,1,3,5,-1.6666666666666667,3,27,0,0,0,1,5.375,1.5555555555555556,5.888888888888889,-5.375,-3.2222222222222223,-2.8888888888888893
127,transcript,14,2013-12-29,TK&JO,-3,0,-2,4,0,5,0,34,0,English,1,3,5,-1.6666666666666667,3,28,0,0,0,1,2.6666666666666665,-0.5925925925925926,4.407407407407407,-2.6666666666666665,-1.0740740740740742,-1.4074074074074074
128,audio,5,2013-12-29,TK&JO,1,0,0,5,5,2,3,32,1,white,1,2,8,0.3333333333333333,6,31,1,0,1,0,4.666666666666667,0.48148148148148157,5.962962962962964,-1.666666666666667,-0.14814814814814825,0.03703703703703631
129,transcript,5,2013-12-29,TK&JO,-3,-3,-3,5,2,5,2,32,0,caucasian,1,3,5,-3,4,31,1,0,0,1,4.666666666666667,0.48148148148148157,5.962962962962964,-2.666666666666667,-3.4814814814814814,-1.9629629629629637
131,audio,12,2013-12-29,TK&JO,3,2,0,6,6,1,5,21,1,caucasian,1,2,9,1.6666666666666667,7,28,0,0,1,0,3.888888888888889,0.2962962962962962,5.999999999999999,1.1111111111111112,1.3703703703703705,1.0000000000000009
132,transcript,19,2013-12-29,TK&JO,3,4,4,8,9,0,8,42,0,Asian,1,3,10,3.6666666666666665,9,32,1,0,0,1,4.222222222222222,1.5185185185185182,5.851851851851851,3.7777777777777777,2.1481481481481484,3.148148148148149
133,transcript,11,2013-12-29,TK&JO,-3,-3,-3,2,2,5,1,24,0,white,1,3,5,-3,3,32,0,0,0,1,2.4444444444444446,-0.3703703703703704,4.666666666666667,-1.4444444444444446,-2.6296296296296298,-1.666666666666667
134,transcript,10,2013-12-29,TK&JO,0,-3,-4,7,3,0,1,24,1,white,1,3,10,-2.3333333333333335,6.666666666666667,28,0,0,0,1,2.7777777777777777,-3.700743415417188e-17,5.444444444444445,-1.7777777777777777,-2.3333333333333335,1.2222222222222223
137,audio,4,2013-12-29,TK&JO,1,1,1,4,4,6,3,22,1,white,1,2,4,1,4,27,0,0,1,0,3.6666666666666665,0.5185185185185185,5,-0.6666666666666665,0.4814814814814815,-1
138,transcript,12,2013-12-29,TK&JO,-3,1,-1,7,5,2,2,21,1,Asian,1,3,8,-1,6.666666666666667,28,0,0,0,1,3.888888888888889,0.2962962962962962,5.999999999999999,-1.8888888888888888,-1.2962962962962963,0.6666666666666679
139,audio,13,2013-12-29,TK&JO,4,3,3,7,7,1,7,18,1,Indian,1,2,9,3.3333333333333335,7.666666666666667,24,1,0,1,0,6,1.6481481481481481,7.296296296296297,1,1.6851851851851853,0.37037037037037024
141,transcript,6,2013-12-29,TK&JO,-5,-3,-5,1,1,7,0,25,0,Asian,1,3,3,-4.333333333333333,1.6666666666666667,29,1,0,0,1,3.3333333333333335,-0.7083333333333333,4.851851851851852,-3.3333333333333335,-3.625,-3.185185185185185
142,audio,19,2013-12-29,TK&JO,1,0,2,4,6,0,7,21,1,caucasian,1,2,10,1,6.666666666666667,32,1,0,1,0,4.222222222222222,1.5185185185185182,5.851851851851851,2.7777777777777777,-0.5185185185185182,0.8148148148148158
143,transcript,16,2013-12-29,TK&JO,3,3,4,7,6,0,10,22,0,white,1,3,10,3.3333333333333335,7.666666666666667,28,1,0,0,1,5.222222222222222,2.111111111111111,5.777777777777778,4.777777777777778,1.2222222222222223,1.8888888888888893
145,transcript,15,2013-12-29,TK&JO,-3,-3,-5,0,2,8,0,21,0,white,1,3,2,-3.6666666666666665,1.3333333333333333,28,1,0,0,1,2.111111111111111,-0.8888888888888888,3.9259259259259256,-2.111111111111111,-2.7777777777777777,-2.5925925925925926
146,transcript,18,2013-12-29,TK&JO,1,-1,-2,1,1,6,1,20,1,caucasian,1,3,4,-0.6666666666666666,2,27,0,0,0,1,4.111111111111111,0.8518518518518519,5.666666666666667,-3.1111111111111107,-1.5185185185185186,-3.666666666666667
147,transcript,4,2013-12-29,TK&JO,0,0,-3,2,5,5,5,52,1,caucasian,1,3,5,-1,4,27,0,0,0,1,3.6666666666666665,0.5185185185185185,5,1.3333333333333335,-1.5185185185185186,-1
149,transcript,7,2013-12-29,TK&JO,-2,-2,-2,2,2,2,0,19,1,caucasian,1,3,8,-2,4,26,0,0,0,1,4.333333333333333,0.6666666666666665,6.37037037037037,-4.333333333333333,-2.6666666666666665,-2.3703703703703702
152,audio,9,2013-12-29,TK&JO,1,1,-1,5,5,1,4,46,0,caucasian,1,2,9,0.3333333333333333,6.333333333333333,28,1,0,1,0,4.875,1.0740740740740742,5.648148148148149,-0.875,-0.7407407407407409,0.6851851851851842
153,transcript,8,2013-12-29,TK&JO,-4,3,-4,8,7,2,7,50,0,caucasian,1,3,8,-1.6666666666666667,7.666666666666667,29,0,0,0,1,3,-1,4.7407407407407405,4,-0.6666666666666667,2.9259259259259265
155,audio,20,2013-12-29,TK&JO,4,5,4,8,8,1,8,21,1,Hispanic,1,2,9,4.333333333333333,8.333333333333334,27,0,0,1,0,5.375,1.5555555555555556,5.888888888888889,2.625,2.7777777777777777,2.4444444444444446
156,transcript,3,2013-12-29,TK&JO,0,0,0,7,7,0,2,25,0,Asian,1,3,10,0,8,26,0,0,0,1,6.375,1.5925925925925926,7.222222222222222,-4.375,-1.5925925925925926,0.7777777777777777
157,audio,17,2013-12-29,TK&JO,2,2,3,6,7,0,7,24,1,Chinese,1,2,10,2.3333333333333335,7.666666666666667,30,0,0,1,0,2.7777777777777777,-1.1851851851851851,3.962962962962963,4.222222222222222,3.5185185185185186,3.703703703703704
161,audio,8,2013-12-29,TK&JO,-3,-3,-3,0,3,5,3,47,1,white,1,2,5,-3,2.6666666666666665,29,0,0,1,0,3,-1,4.7407407407407405,0,-2,-2.074074074074074
162,audio,10,2013-12-29,TK&JO,-1,-1,0,8,4,6,2,48,0,white,1,2,4,-0.6666666666666666,5.333333333333333,28,0,0,1,0,2.7777777777777777,-3.700743415417188e-17,5.444444444444445,-0.7777777777777777,-0.6666666666666666,-0.1111111111111116
