Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Fletcher, D",LAA,Infield,3B,80,284,35,78,18,2,1,25,15,34
"Aguilar, J",MIL,Infield,1B,149,492,80,135,25,0,35,108,58,143
"Dahl, D",COL,Outfield,RF,77,249,31,68,11,3,16,48,19,68
"Anderson, B",MIA,Outfield,RF,156,590,87,161,34,4,11,65,62,129
"Avelino, A",SF,Infield,SS,6,11,1,3,0,0,0,0,0,3
"Grossman, R",MIN,Outfield,RF,129,396,50,108,27,1,5,48,60,83
"O'Brien, P",MIA,Outfield,LF,22,66,8,18,5,0,4,10,7,22
"Skole, M",CWS,Infield,1B,4,11,2,3,0,0,1,1,2,3
"Beltre, A",TEX,Infield,3B,119,433,49,118,23,1,15,65,34,96
"Bryant, K",CHC,Infield,3B,102,389,59,106,28,3,13,52,48,107
"Gamel, B",SEA,Outfield,LF,101,257,37,70,14,4,1,19,31,61
"Escobar, E",ARI,Infield,3B,151,566,75,154,48,3,23,84,52,126
"Camargo, J",ATL,Infield,3B,134,464,63,126,27,1,19,76,51,108
"Ellis, A",SD,Battery,C,66,151,19,41,8,0,1,15,26,37
"Torres, G",NYY,Infield,2B,123,431,54,117,16,1,24,77,42,122
"Garcia, L",CWS,Outfield,LF,82,258,23,70,7,4,4,32,9,69
"Turner, T",WSH,Infield,SS,162,664,103,180,27,6,19,73,69,132
"Suzuki, K",ATL,Battery,C,105,347,45,94,24,0,12,50,22,43
"Heyward, J",CHC,Outfield,RF,127,440,67,119,23,4,8,57,42,60
"Culberson, C",ATL,Outfield,LF,113,296,47,80,18,2,12,45,21,85
"Franco, M",PHI,Infield,3B,131,433,48,117,17,1,22,68,29,62
"Ramirez, J",CLE,Infield,3B,157,578,110,156,38,4,39,105,106,80
"Gentry, C",BAL,Outfield,RF,68,156,13,42,5,2,1,11,11,31
"Ryu, H",LAD,Battery,P,16,26,4,7,1,0,0,2,2,13
"Iglesias, J",DET,Infield,SS,125,432,43,116,31,3,5,48,19,47
"Garver, M",MIN,Battery,C,102,302,38,81,19,2,7,45,29,72
"Gordon, D",SEA,Infield,2B,141,556,62,149,17,8,4,36,9,80
"Gregorius, D",NYY,Infield,SS,134,504,89,135,23,5,27,86,48,69
"Jay, J",ARI,Outfield,RF,143,527,74,141,19,7,3,40,33,95
"Piscotty, S",OAK,Outfield,RF,151,546,78,146,41,0,27,88,42,114
"Seager, C",LAD,Infield,SS,26,101,13,27,5,1,2,13,11,17
"Fernandez, J",LAA,Infield,2B,36,116,9,31,8,0,2,11,6,15
"Adduci, J",DET,Infield,1B,59,176,19,47,8,2,3,21,6,45
"Flores, W",NYM,Infield,1B,126,386,43,103,25,0,11,51,29,42
"Lowrie, J",OAK,Infield,2B,157,596,78,159,37,1,23,99,78,128
"Berti, J",TOR,Infield,3B,4,15,2,4,1,1,0,2,0,4
"Gomez, M",SF,Infield,2B,9,15,3,4,0,0,0,1,0,5
"Puig, Y",LAD,Outfield,RF,125,405,60,108,21,1,23,63,36,87
"Stewart, C",DET,Outfield,LF,17,60,7,16,1,1,2,10,10,13
"La Stella, T",CHC,Infield,3B,123,169,23,45,8,0,1,19,17,27
"Stanton, G",NYY,Outfield,LF,158,617,102,164,34,1,38,100,70,211
"Gomes, Y",CLE,Battery,C,112,403,52,107,26,0,16,48,21,119
"Santana, D",MIL,Outfield,RF,85,211,21,56,14,1,5,20,20,77
"Cave, J",MIN,Outfield,CF,91,283,54,75,16,2,13,45,18,102
"Frazier, C",NYY,Outfield,LF,15,34,9,9,3,0,0,1,5,13
"Gonzalez, E",CLE,Infield,2B,81,136,17,36,10,1,1,16,5,34
"Springer, G",HOU,Outfield,CF,140,544,102,144,26,0,22,71,64,122
"Inciarte, E",ATL,Outfield,CF,156,597,83,158,27,6,10,61,49,86
"Nunez, E",BOS,Infield,2B,127,480,56,127,23,3,10,44,16,69
"Soler, J",KC,Outfield,RF,61,223,27,59,18,0,9,28,28,69
"Abreu, J",CWS,Infield,1B,128,499,68,132,36,1,22,78,37,109
"Dietrich, D",MIA,Outfield,LF,149,499,72,132,26,2,16,45,29,140
"Naquin, T",CLE,Outfield,RF,61,174,22,46,7,0,3,23,6,42
"Choo, S",TEX,Outfield,RF,146,560,83,148,30,1,21,62,92,156
"Arroyo, C",TB,Infield,3B,20,53,5,14,2,1,1,6,6,16
"Tilson, C",CWS,Outfield,CF,41,106,7,28,1,1,0,11,10,20
"Zimmerman, R",WSH,Infield,1B,85,288,33,76,21,2,13,51,30,55
"Bader, H",STL,Outfield,RF,138,379,61,100,20,2,12,37,31,125
"Muncy, M",LAD,Infield,1B,137,395,75,104,17,2,35,79,79,131
"Nimmo, B",NYM,Outfield,CF,140,433,77,114,28,8,17,47,80,140
"Barnes, B",CLE,Outfield,CF,19,19,2,5,0,0,1,2,2,5
"Choi, J",TB,Infield,1B,61,190,25,50,14,1,10,32,26,55
"Diaz, A",TOR,Infield,SS,130,422,55,111,26,0,18,55,23,62
"Kemp, T",HOU,Outfield,LF,97,255,37,67,15,0,6,30,32,44
"Valencia, D",BAL,Infield,3B,78,255,28,67,8,1,9,28,22,53
"Cespedes, Y",NYM,Outfield,LF,38,141,20,37,6,0,9,29,13,50
"Robertson, D",TB,Infield,2B,87,282,46,74,16,0,9,34,43,77
"Gyorko, J",STL,Infield,3B,125,351,49,92,19,1,11,47,44,77
"Cabrera, A",PHI,Infield,2B,147,546,68,143,36,1,23,75,41,119
"O'Hearn, R",KC,Infield,1B,44,149,23,39,10,2,12,30,20,45
"Alfaro, J",PHI,Battery,C,108,344,35,90,16,2,10,37,18,138
"Smith Jr., D",TOR,Outfield,LF,35,65,9,17,8,0,2,8,7,13
"Bell, J",PIT,Infield,1B,148,501,74,131,31,4,12,62,77,104
"Molina, Y",STL,Battery,C,123,459,55,120,20,0,20,74,29,66
"Albies, O",ATL,Infield,2B,158,639,105,167,40,5,24,72,36,116
"Kiner-Falefa, I",TEX,Infield,3B,111,356,43,93,18,2,4,34,28,62
"Span, D",SEA,Outfield,LF,137,437,63,114,22,7,11,58,51,79
"Trumbo, M",BAL,DH,DH,90,330,41,86,12,0,17,44,24,87
"Hicks, J",DET,Infield,1B,81,288,35,75,12,1,9,32,22,84
"Bellinger, C",LAD,Infield,1B,162,557,84,145,28,7,25,76,69,151
"Wisdom, P",STL,Infield,3B,32,50,11,13,1,0,4,10,6,19
"Verdugo, A",LAD,Outfield,CF,37,77,11,20,6,0,1,4,8,14
"Villar, J",BAL,Infield,2B,141,466,54,121,14,1,14,46,41,138
"Marte, K",ARI,Infield,2B,153,520,68,135,26,12,14,59,54,79
"Quinn, R",PHI,Outfield,CF,50,131,13,34,6,4,2,12,10,35
"Jankowski, T",SD,Outfield,RF,117,347,45,90,12,3,4,17,37,73
"Viloria, M",KC,Battery,C,10,27,4,7,2,0,0,4,1,9
"Cervelli, F",PIT,Battery,C,104,332,39,86,15,3,12,57,51,84
"Castillo, W",CWS,Battery,C,49,170,17,44,7,0,6,15,9,46
"Nunez, R",BAL,Infield,3B,73,236,28,61,14,0,8,22,19,62
